,id,terrestrial_date,sol,ls,month,min_temp,pressure
0,2,2012-08-16,10.0,155.0,6,-75.0,739.0
1,13,2012-08-17,11.0,156.0,6,-76.0,740.0
2,24,2012-08-18,12.0,156.0,6,-76.0,741.0
3,35,2012-08-19,13.0,157.0,6,-74.0,732.0
4,46,2012-08-20,14.0,157.0,6,-74.0,740.0
5,57,2012-08-21,15.0,158.0,6,-78.0,740.0
6,68,2012-08-22,16.0,158.0,6,-77.0,740.0
7,79,2012-08-23,17.0,159.0,6,-76.0,742.0
8,112,2012-08-27,21.0,161.0,6,-74.0,741.0
9,114,2012-08-28,22.0,162.0,6,-74.0,742.0
10,123,2012-08-29,23.0,162.0,6,-75.0,741.0
11,134,2012-08-30,24.0,163.0,6,-75.0,742.0
12,145,2012-08-31,25.0,163.0,6,-75.0,743.0
13,156,2012-09-01,26.0,164.0,6,-76.0,745.0
14,163,2012-09-02,27.0,164.0,6,-75.0,743.0
15,170,2012-09-03,28.0,165.0,6,-75.0,745.0
16,171,2012-09-04,29.0,166.0,6,-75.0,747.0
17,172,2012-09-05,30.0,166.0,6,-74.0,747.0
18,173,2012-09-06,31.0,167.0,6,-74.0,745.0
19,175,2012-09-08,33.0,168.0,6,-73.0,748.0
20,176,2012-09-10,34.0,168.0,6,-73.0,748.0
21,177,2012-09-11,35.0,169.0,6,-73.0,749.0
22,178,2012-09-12,36.0,169.0,6,-73.0,750.0
23,179,2012-09-13,37.0,170.0,6,-73.0,750.0
24,180,2012-09-14,38.0,171.0,6,-73.0,750.0
25,181,2012-09-15,39.0,171.0,6,-75.0,751.0
26,182,2012-09-16,40.0,172.0,6,-75.0,753.0
27,183,2012-09-17,41.0,172.0,6,-75.0,753.0
28,184,2012-09-18,42.0,173.0,6,-75.0,754.0
29,185,2012-09-19,43.0,173.0,6,-74.0,756.0
30,186,2012-09-20,44.0,174.0,6,-75.0,757.0
31,187,2012-09-21,45.0,175.0,6,-74.0,758.0
32,188,2012-09-22,46.0,175.0,6,-74.0,758.0
33,189,2012-09-23,47.0,176.0,6,-75.0,758.0
